-== Watchman Report ==- 

-== Congratulations, all 34 actions from your config are available!

-== Missing 182 entity(ies) from 518 found in your config:
+--------------------------------+----------+---------------------------------------------------------------+
| Entity ID                      | State    | Location                                                      |
| sensor.load_5m                 | missing  | 📄 customize.yaml:43                                          |
|                                |          | 📄 recorder.yaml:39                                           |
| sensor.load_1m                 | missing  | 📄 customize.yaml:45                                          |
|                                |          | 📄 recorder.yaml:38                                           |
| sensor.fibaro_system_fgk101_do | missing  | 📄 customize.yaml:47                                          |
| or_opening_sensor_temperature  |          |                                                               |
| binary_sensor.fibaro_system_fg | missing  | 📄 customize.yaml:51                                          |
| k101_door_opening_sensor_senso |          |                                                               |
| r_2                            |          |                                                               |
| binary_sensor.philio_technolog | missing  | 📄 customize.yaml:53                                          |
| y_corporation_psp05_pir_motion |          |                                                               |
| _sensor                        |          |                                                               |
| lock.id_lock_150_locked        | missing  | 📄 customize.yaml:57                                          |
|                                |          | 📄 scripts.yaml:113                                           |
|                                |          | 📄 templates.yaml:54                                          |
| light.shapes_eea3_local        | missing  | 📄 customize.yaml:65                                          |
| binary_sensor.front_door_open_ | missing  | 📄 customize.yaml:74                                          |
| lock                           |          |                                                               |
| light.fibaro_system_fgd211_uni | missing  | 📄 google_assistant.yaml:13                                   |
| versal_dimmer_500w_level       |          |                                                               |
| light.fibaro_system_fgd211_uni | missing  | 📄 google_assistant.yaml:15                                   |
| versal_dimmer_500w_level_6     |          |                                                               |
| light.frida_skrivbord          | missing  | 📄 google_assistant.yaml:17                                   |
| light.fibaro_system_fgd211_uni | missing  | 📄 google_assistant.yaml:19                                   |
| versal_dimmer_500w_level_5     |          |                                                               |
| light.koksbanken_level         | missing  | 📄 google_assistant.yaml:21                                   |
| switch.telldus_tzwp100_plugin_ | missing  | 📄 google_assistant.yaml:23                                   |
| switch_switch                  |          |                                                               |
| light.fibaro_system_fgd211_uni | missing  | 📄 google_assistant.yaml:25                                   |
| versal_dimmer_500w_level_2     |          |                                                               |
| group.guest_room               | missing  | 📄 google_assistant.yaml:37                                   |
| group.living_room              | missing  | 📄 google_assistant.yaml:41                                   |
| group.kamera                   | missing  | 📄 google_assistant.yaml:43                                   |
| switch.frida_at_school         | missing  | 📄 google_assistant.yaml:45                                   |
| switch.frida_at_home           | missing  | 📄 google_assistant.yaml:47                                   |
| switch.fibaro_system_fgwpef_wa | missing  | 📄 groups.yaml:37                                             |
| ll_plug_gen5_switch            |          |                                                               |
| switch.kamera                  | missing  | 📄 groups.yaml:38                                             |
| switch.sensor_badrum           | missing  | 📄 groups.yaml:39                                             |
| switch.fibaro_system_fgwpef_wa | missing  | 📄 groups.yaml:56                                             |
| ll_plug_switch                 |          |                                                               |
| light.arbrum_fonster           | missing  | 📄 groups.yaml:57                                             |
| light.cloak_room               | missing  | 📄 groups.yaml:64                                             |
| media_player.kitchen_display   | missing  | 📄 notifiers.yaml:26                                          |
| sensor.network_throughput_out_ | missing  | 📄 recorder.yaml:41                                           |
| hassio                         |          |                                                               |
| sensor.network_throughput_in_h | missing  | 📄 recorder.yaml:42                                           |
| assio                          |          |                                                               |
| sensor.memory_free             | missing  | 📄 recorder.yaml:43                                           |
| sensor.processor_use           | missing  | 📄 recorder.yaml:44                                           |
| sensor.disk_free_home          | unavail  | 📄 recorder.yaml:45                                           |
| sensor.last_boot               | missing  | 📄 recorder.yaml:46                                           |
| sensor.pelle_velocity          | missing  | 📄 recorder.yaml:49                                           |
| sensor.marie_velocity          | missing  | 📄 recorder.yaml:50                                           |
| sensor.frida_velocity          | missing  | 📄 recorder.yaml:51                                           |
| sensor.jenny_velocity          | missing  | 📄 recorder.yaml:52                                           |
| sensor.albin_velocity          | missing  | 📄 recorder.yaml:53                                           |
| sensor.sm_t719_wifi_connection | missing  | 📄 recorder.yaml:54                                           |
| media_player.stereo            | missing  | 📄 scripts.yaml:54                                            |
| device_tracker.life360_marie   | missing  | 📄 scripts.yaml:67                                            |
| device_tracker.life360_frida_n | missing  | 📄 scripts.yaml:67                                            |
| ordlund                        |          |                                                               |
| device_tracker.life360_jenny_n | missing  | 📄 scripts.yaml:67                                            |
| ordlund                        |          |                                                               |
| device_tracker.life360_albin_n | missing  | 📄 scripts.yaml:67                                            |
| ordlund                        |          |                                                               |
| media_player.chromecastultra23 | missing  | 📄 scripts.yaml:87                                            |
| 87                             |          |                                                               |
| sensor.zigge_zigge_room_presen | unavail  | 📄 templates.yaml:10                                          |
| ce_2                           |          |                                                               |
| sensor.pelles_phone_room_prese | unavail  | 📄 templates.yaml:85                                          |
| nce                            |          |                                                               |
| vacuum.automower_r_310_roger   | missing  | 📄 templates.yaml:128                                         |
| sensor.fibaro_system_fgwpef_wa | missing  | 📄 zwave_device_config.yaml:1                                 |
| ll_plug_gen5_alarm_level_2_1   |          |                                                               |
| sensor.fibaro_system_fgwpef_wa | missing  | 📄 zwave_device_config.yaml:4                                 |
| ll_plug_gen5_exporting_2_32    |          |                                                               |
| sensor.fibaro_system_fgwpef_wa | missing  | 📄 zwave_device_config.yaml:7                                 |
| ll_plug_gen5_sourcenodeid_2_2  |          |                                                               |
| sensor.fibaro_system_fgwpef_wa | missing  | 📄 zwave_device_config.yaml:10                                |
| ll_plug_gen5_power_management_ |          |                                                               |
| 2_11                           |          |                                                               |
| sensor.fibaro_system_fgwpef_wa | missing  | 📄 zwave_device_config.yaml:13                                |
| ll_plug_gen5_power_2_8         |          |                                                               |
| sensor.fibaro_system_fgwpef_wa | missing  | 📄 zwave_device_config.yaml:16                                |
| ll_plug_gen5_power_2_4         |          |                                                               |
+--------------------------------+----------+---------------------------------------------------------------+

-== Report created on 24 Feb 2026 07:46:08
-== Parsed 44 files in 0.00s., ignored 0 files 
-== Generated in: 0.07s. Validated in: 0.00s.
